

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000  0.000000E+00  0.000000E+00  0.165756E-06  0.463971E-04 -0.115737E+01   -276.922   -268.825   -264.740       1
     2.00000  0.000000E+00  0.000000E+00  0.219645E-05  0.918150E-04 -0.146120E+01   -351.609   -343.472   -339.361       2
     3.00000  0.000000E+00  0.000000E+00  0.115639E-05  0.136455E-03 -0.163667E+01   -406.547   -398.345   -394.192       3
     4.00000  0.000000E+00  0.000000E+00  0.115657E-05  0.182144E-03 -0.176542E+01   -450.427   -442.265   -438.141       4
     5.00000  0.000000E+00  0.491317E-03 -0.671323E-05  0.673459E-03 -0.185505E+01   -484.623   -476.282   -472.015       5
     6.00000  0.000000E+00  0.746626E-03 -0.104817E-05  0.932313E-03 -0.193139E+01   -522.115   -513.879   -509.700       6
     7.00000  0.000000E+00  0.113771E-02 -0.280767E-05  0.132362E-02 -0.199654E+01   -552.055   -543.836   -539.669       7
     8.00000  0.000000E+00  0.264800E-02 -0.243016E-04  0.283391E-02 -0.205184E+01   -579.088   -570.882   -566.723       8
     9.00000  0.000000E+00  0.550944E-02 -0.516268E-04  0.569535E-02 -0.209875E+01   -602.156   -593.909   -589.707       9
    10.00000  0.000000E+00  0.926339E-02 -0.674656E-04  0.944930E-02 -0.213968E+01   -630.262   -621.704   -617.227      10
    11.00000  0.000000E+00  0.137502E-01 -0.835713E-04  0.139361E-01 -0.217682E+01   -657.115   -648.661   -644.268      11
    12.00000  0.000000E+00  0.189680E-01 -0.968690E-04  0.191539E-01 -0.221054E+01   -682.643   -674.130   -669.675      12
    13.00000  0.000000E+00  0.246949E-01 -0.107697E-03  0.248808E-01 -0.224108E+01   -706.591   -698.013   -693.492      13
    14.00000  0.000000E+00  0.304575E-01 -0.108214E-03  0.306434E-01 -0.226864E+01   -728.911   -720.264   -715.669      14
    15.00000  0.000000E+00  0.360944E-01 -0.104718E-03  0.362804E-01 -0.229349E+01   -749.403   -740.709   -736.066      15
    16.00000  0.000000E+00  0.410980E-01 -0.919549E-04  0.412839E-01 -0.231584E+01   -768.165   -759.436   -754.755      16
    17.00000  0.000000E+00  0.440481E-01 -0.513885E-04  0.442340E-01 -0.233581E+01   -786.256   -777.226   -772.313      17
    18.00000  0.000000E+00  0.460487E-01 -0.333929E-04  0.462346E-01 -0.235466E+01   -806.680   -798.016   -793.404      18
    19.00000  0.000000E+00  0.472962E-01 -0.174564E-04  0.474821E-01 -0.237255E+01   -825.104   -816.575   -812.113      19
    20.00000  0.000000E+00  0.482154E-01 -0.102087E-04  0.484013E-01 -0.238961E+01   -842.464   -834.033   -829.670      20
    21.00000  0.000000E+00  0.487679E-01 -0.284355E-05  0.489538E-01 -0.240589E+01   -858.746   -850.356   -846.035      21
    22.00000  0.000000E+00  0.490859E-01  0.160862E-05  0.492730E-01 -0.242143E+01   -873.993   -865.648   -861.372      22
    23.00000  0.000000E+00  0.493370E-01  0.325770E-05  0.495276E-01 -0.243628E+01   -888.383   -880.069   -875.824      23
    24.00000  0.000000E+00  0.495425E-01  0.371543E-05  0.497395E-01 -0.245048E+01   -902.110   -893.810   -889.577      24
    25.00000  0.000000E+00  0.496967E-01  0.490671E-05  0.499051E-01 -0.246405E+01   -915.193   -906.901   -902.677      25
    26.00060 -0.241232E+01  0.497944E-01 -0.241230E+01  0.509351E-01 -0.295196E+01   -165.046   -170.453   -173.435      26
    27.00000 -0.241232E+01  0.497944E-01 -0.241230E+01  0.509821E-01 -0.358190E+01   -289.942   -281.682   -277.491      27
    28.00000 -0.241232E+01  0.499139E-01 -0.241231E+01  0.511186E-01 -0.385881E+01   -360.341   -352.225   -348.130      28
