 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4. 7.2023    Time:   9: 6:24
 Units: L = cm   , T = hours, M = mmol 



                               Node( 31)

         time            h        theta    Temp  
          1.0000     -266.69  0.3198   20.000
          2.0000     -341.32  0.3075   20.000
          3.0000     -396.17  0.3004   20.000
          4.0000     -440.10  0.2953   20.000
          5.0000     -474.06  0.2916   20.000
          6.0000     -511.69  0.2886   20.000
          7.0000     -541.65  0.2859   20.000
          8.0000     -568.70  0.2837   20.000
          9.0000     -591.72  0.2818   20.000
         10.0000     -619.41  0.2800   20.000
         11.0000     -646.40  0.2783   20.000
         12.0000     -671.85  0.2768   20.000
         13.0000     -695.72  0.2754   20.000
         14.0000     -717.95  0.2741   20.000
         15.0000     -738.38  0.2728   20.000
         16.0000     -757.10  0.2717   20.000
         17.0000     -774.78  0.2707   20.000
         18.0000     -795.70  0.2698   20.000
         19.0000     -814.29  0.2690   20.000
         20.0000     -831.78  0.2683   20.000
         21.0000     -848.12  0.2676   20.000
         22.0000     -863.42  0.2669   20.000
         23.0000     -877.85  0.2663   20.000
         24.0000     -891.60  0.2658   20.000
         25.0000     -904.69  0.2652   20.000
         26.0000     -171.83  0.3416   20.000
         27.0000     -279.48  0.3172   20.000
         28.0000     -350.08  0.3061   20.000
         29.0000     -404.94  0.2994   20.000
         30.0000     -445.58  0.2948   20.000
         31.0000     -479.51  0.2912   20.000
         32.0000     -516.09  0.2882   20.000
         33.0000     -545.61  0.2856   20.000
         34.0000     -572.17  0.2834   20.000
         35.0000     -594.76  0.2815   20.000
         36.0000     -622.48  0.2798   20.000
         37.0000     -647.99  0.2782   20.000
         38.0000     -672.24  0.2768   20.000
         39.0000     -694.98  0.2754   20.000
         40.0000     -716.65  0.2741   20.000
         41.0000     -736.09  0.2730   20.000
         42.0000     -753.87  0.2719   20.000
         43.0000     -769.84  0.2710   20.000
         44.0000     -788.56  0.2701   20.000
         45.0000     -806.36  0.2693   20.000
         46.0000     -823.01  0.2686   20.000
         47.0000     -838.96  0.2680   20.000
         48.0000     -854.18  0.2673   20.000
         49.0000     -868.75  0.2667   20.000
         50.0000     -882.68  0.2661   20.000
         51.0000     -896.00  0.2656   20.000
         52.0000     -908.75  0.2650   20.000
         53.0000     -920.95  0.2645   20.000
         54.0000     -932.78  0.2640   20.000
         55.0000     -944.06  0.2635   20.000
         56.0000     -954.98  0.2631   20.000
         57.0000     -965.72  0.2626   20.000
         58.0000     -976.54  0.2622   20.000
         59.0000     -987.44  0.2617   20.000
         60.0000     -998.76  0.2612   20.000
         61.0000    -1013.59  0.2608   20.000
         62.0000    -1028.28  0.2604   20.000
         63.0000    -1042.88  0.2599   20.000
         64.0000    -1056.59  0.2595   20.000
         65.0000    -1069.53  0.2591   20.000
         66.0000    -1082.91  0.2588   20.000
         67.0000    -1095.52  0.2584   20.000
         68.0000    -1107.31  0.2580   20.000
         69.0000    -1117.58  0.2577   20.000
         70.0000    -1127.30  0.2575   20.000
         71.0000    -1136.94  0.2572   20.000
         72.0000    -1145.91  0.2569   20.000
         73.0000    -1155.33  0.2566   20.000
         74.0000    -1164.87  0.2563   20.000
         75.0000    -1174.08  0.2561   20.000
         76.0000    -1182.85  0.2558   20.000
         77.0000    -1191.05  0.2556   20.000
         78.0000    -1199.16  0.2553   20.000
         79.0000    -1207.21  0.2551   20.000
         80.0000    -1216.43  0.2548   20.000
         81.0000    -1225.80  0.2546   20.000
         82.0000    -1236.59  0.2542   20.000
         83.0000    -1247.97  0.2539   20.000
         84.0000    -1260.05  0.2536   20.000
         85.0000    -1272.51  0.2532   20.000
         86.0000    -1285.86  0.2528   20.000
         87.0000    -1303.30  0.2524   20.000
         88.0000    -1321.75  0.2520   20.000
         89.0000    -1338.79  0.2517   20.000
         90.0000    -1354.94  0.2513   20.000
         91.0000    -1369.54  0.2510   20.000
         92.0000    -1381.91  0.2508   20.000
         93.0000    -1392.73  0.2506   20.000
         94.0000    -1400.28  0.2504   20.000
         95.0000    -1407.20  0.2503   20.000
         96.0000    -1413.79  0.2501   20.000
         97.0000    -1420.27  0.2500   20.000
         98.0000    -1426.66  0.2499   20.000
         99.0000    -1432.98  0.2497   20.000
        100.0000    -1439.22  0.2496   20.000
        101.0000    -1445.39  0.2495   20.000
        102.0000    -1451.80  0.2494   20.000
        103.0000    -1458.09  0.2492   20.000
        104.0000    -1464.72  0.2491   20.000
        105.0000    -1473.01  0.2489   20.000
        106.0000    -1483.74  0.2487   20.000
        107.0000    -1496.77  0.2484   20.000
        108.0000    -1512.13  0.2481   20.000
        109.0000    -1529.89  0.2478   20.000
        110.0000    -1548.80  0.2474   20.000
        111.0000    -1568.47  0.2470   20.000
        112.0000    -1587.43  0.2466   20.000
        113.0000    -1604.76  0.2462   20.000
        114.0000    -1618.80  0.2460   20.000
        115.0000    -1629.94  0.2457   20.000
        116.0000    -1638.58  0.2455   20.000
        117.0000    -1645.10  0.2454   20.000
        118.0000    -1649.21  0.2453   20.000
        119.0000    -1653.35  0.2453   20.000
        120.0000    -1657.08  0.2452   20.000
        121.0000    -1660.88  0.2451   20.000
        122.0000     -477.42  0.2915   20.000
        123.0000     -514.78  0.2883   20.000
        124.0000     -546.25  0.2856   20.000
        125.0000     -573.08  0.2834   20.000
        126.0000     -595.04  0.2815   20.000
        127.0000     -622.09  0.2798   20.000
        128.0000     -646.66  0.2783   20.000
        129.0000     -670.45  0.2769   20.000
        130.0000     -692.97  0.2756   20.000
        131.0000     -714.70  0.2743   20.000
        132.0000     -735.73  0.2730   20.000
        133.0000     -755.60  0.2718   20.000
        134.0000     -775.32  0.2707   20.000
        135.0000     -800.83  0.2696   20.000
        136.0000     -823.93  0.2686   20.000
        137.0000     -845.99  0.2677   20.000
        138.0000     -865.30  0.2669   20.000
        139.0000     -882.06  0.2662   20.000
        140.0000     -896.24  0.2656   20.000
        141.0000     -909.13  0.2650   20.000
        142.0000     -921.37  0.2645   20.000
        143.0000     -933.02  0.2640   20.000
        144.0000     -944.17  0.2635   20.000
        145.0000     -954.82  0.2631   20.000
        146.0000     -965.01  0.2627   20.000
        147.0000     -974.76  0.2623   20.000
        148.0000     -984.09  0.2619   20.000
        149.0000     -993.08  0.2615   20.000
        150.0000    -1003.43  0.2611   20.000
        151.0000    -1015.80  0.2607   20.000
        152.0000    -1027.90  0.2604   20.000
        153.0000    -1040.61  0.2600   20.000
        154.0000    -1053.97  0.2596   20.000
        155.0000    -1068.47  0.2592   20.000
        156.0000    -1085.36  0.2587   20.000
        157.0000    -1103.43  0.2582   20.000
        158.0000    -1121.51  0.2576   20.000
        159.0000    -1139.98  0.2571   20.000
        160.0000    -1156.41  0.2566   20.000
        161.0000    -1172.09  0.2561   20.000
        162.0000    -1187.84  0.2557   20.000
        163.0000    -1198.97  0.2553   20.000
        164.0000    -1209.13  0.2550   20.000
        165.0000    -1216.50  0.2548   20.000
        166.0000    -1223.95  0.2546   20.000
        167.0000    -1230.83  0.2544   20.000
        168.0000    -1237.66  0.2542   20.000
        169.0000    -1244.27  0.2540   20.000
        170.0000    -1250.76  0.2538   20.000
        171.0000    -1257.09  0.2536   20.000
        172.0000    -1263.28  0.2535   20.000
        173.0000    -1269.33  0.2533   20.000
        174.0000    -1276.02  0.2531   20.000
        175.0000    -1282.21  0.2529   20.000
        176.0000    -1289.12  0.2527   20.000
        177.0000    -1299.79  0.2525   20.000
        178.0000    -1312.84  0.2522   20.000
        179.0000    -1328.79  0.2519   20.000
        180.0000    -1347.73  0.2515   20.000
        181.0000    -1368.53  0.2511   20.000
        182.0000    -1393.53  0.2506   20.000
        183.0000    -1414.05  0.2501   20.000
        184.0000    -1434.81  0.2497   20.000
        185.0000    -1455.93  0.2493   20.000
        186.0000    -1470.61  0.2490   20.000
        187.0000    -1482.75  0.2487   20.000
        188.0000    -1492.35  0.2485   20.000
        189.0000    -1499.62  0.2484   20.000
        190.0000    -1505.35  0.2483   20.000
        191.0000    -1511.08  0.2482   20.000
        192.0000    -1516.51  0.2480   20.000
        193.0000    -1521.84  0.2479   20.000
        194.0000    -1527.08  0.2478   20.000
        195.0000    -1532.27  0.2477   20.000
        196.0000    -1537.38  0.2476   20.000
        197.0000    -1542.44  0.2475   20.000
        198.0000    -1548.26  0.2474   20.000
        199.0000    -1553.70  0.2473   20.000
        200.0000    -1559.59  0.2472   20.000
        201.0000     -459.09  0.2932   20.000
        202.0000     -500.52  0.2895   20.000
        203.0000     -536.75  0.2864   20.000
        204.0000     -568.12  0.2838   20.000
        205.0000     -593.89  0.2816   20.000
        206.0000     -626.34  0.2796   20.000
        207.0000     -656.10  0.2778   20.000
        208.0000     -684.04  0.2761   20.000
        209.0000     -708.64  0.2746   20.000
        210.0000     -730.66  0.2733   20.000
        211.0000     -749.86  0.2721   20.000
        212.0000     -766.32  0.2712   20.000
        213.0000     -784.81  0.2703   20.000
        214.0000     -804.13  0.2694   20.000
        215.0000     -821.86  0.2687   20.000
        216.0000     -837.84  0.2680   20.000
        217.0000     -853.20  0.2674   20.000
        218.0000     -867.79  0.2668   20.000
        219.0000     -881.78  0.2662   20.000
        220.0000     -895.14  0.2656   20.000
        221.0000     -907.93  0.2651   20.000
        222.0000     -921.08  0.2645   20.000
        223.0000     -933.46  0.2640   20.000
        224.0000     -945.59  0.2635   20.000
        225.0000     -958.00  0.2630   20.000
        226.0000     -969.68  0.2625   20.000
        227.0000     -980.83  0.2620   20.000
        228.0000     -991.95  0.2615   20.000
        229.0000    -1005.39  0.2610   20.000
        230.0000    -1023.60  0.2605   20.000
        231.0000    -1040.22  0.2600   20.000
        232.0000    -1056.18  0.2595   20.000
        233.0000    -1069.31  0.2592   20.000
        234.0000    -1081.44  0.2588   20.000
        235.0000    -1092.06  0.2585   20.000
        236.0000    -1102.06  0.2582   20.000
        237.0000    -1111.76  0.2579   20.000
        238.0000    -1121.22  0.2576   20.000
        239.0000    -1130.46  0.2574   20.000
        240.0000    -1139.49  0.2571   20.000
        241.0000    -1148.32  0.2568   20.000
        242.0000    -1156.96  0.2566   20.000
        243.0000    -1165.39  0.2563   20.000
        244.0000    -1173.64  0.2561   20.000
        245.0000    -1181.71  0.2559   20.000
        246.0000    -1189.92  0.2556   20.000
        247.0000    -1197.90  0.2554   20.000
        248.0000    -1205.82  0.2551   20.000
        249.0000    -1213.80  0.2549   20.000
        250.0000    -1222.25  0.2547   20.000
        251.0000    -1230.79  0.2544   20.000
        252.0000    -1239.06  0.2542   20.000
        253.0000    -1247.95  0.2539   20.000
        254.0000    -1256.06  0.2537   20.000
        255.0000    -1263.69  0.2534   20.000
        256.0000    -1271.06  0.2532   20.000
        257.0000    -1279.08  0.2530   20.000
        258.0000    -1286.40  0.2528   20.000
        259.0000    -1293.01  0.2526   20.000
        260.0000    -1301.05  0.2524   20.000
        261.0000    -1308.76  0.2523   20.000
        262.0000    -1316.44  0.2521   20.000
        263.0000    -1324.01  0.2520   20.000
        264.0000    -1331.50  0.2518   20.000
        265.0000    -1338.90  0.2517   20.000
        266.0000    -1346.21  0.2515   20.000
        267.0000    -1353.44  0.2514   20.000
        268.0000    -1360.59  0.2512   20.000
        269.0000    -1367.66  0.2511   20.000
        270.0000    -1375.10  0.2509   20.000
        271.0000    -1382.43  0.2508   20.000
        272.0000    -1389.82  0.2506   20.000
        273.0000    -1397.46  0.2505   20.000
        274.0000    -1405.35  0.2503   20.000
        275.0000    -1414.22  0.2501   20.000
        276.0000    -1423.46  0.2499   20.000
        277.0000    -1433.56  0.2497   20.000
        278.0000    -1443.30  0.2495   20.000
        279.0000    -1452.29  0.2493   20.000
        280.0000    -1460.51  0.2492   20.000
        281.0000    -1468.12  0.2490   20.000
        282.0000    -1475.15  0.2489   20.000
        283.0000    -1481.27  0.2488   20.000
        284.0000    -1487.07  0.2486   20.000
        285.0000    -1492.73  0.2485   20.000
        286.0000    -1498.30  0.2484   20.000
        287.0000    -1503.80  0.2483   20.000
        288.0000    -1509.23  0.2482   20.000
        289.0000    -1514.61  0.2481   20.000
        290.0000    -1519.92  0.2480   20.000
        291.0000    -1525.17  0.2479   20.000
        292.0000    -1530.36  0.2478   20.000
        293.0000    -1535.49  0.2477   20.000
        294.0000    -1540.98  0.2475   20.000
        295.0000    -1546.36  0.2474   20.000
        296.0000    -1552.43  0.2473   20.000
        297.0000    -1560.89  0.2471   20.000
        298.0000    -1572.28  0.2469   20.000
        299.0000    -1587.06  0.2466   20.000
        300.0000    -1604.43  0.2463   20.000
        301.0000    -1624.12  0.2459   20.000
        302.0000    -1645.08  0.2454   20.000
        303.0000    -1668.97  0.2449   20.000
        304.0000    -1698.84  0.2445   20.000
        305.0000    -1724.24  0.2442   20.000
        306.0000    -1747.07  0.2438   20.000
        307.0000    -1764.99  0.2436   20.000
        308.0000    -1773.54  0.2435   20.000
        309.0000    -1782.60  0.2433   20.000
        310.0000    -1788.06  0.2433   20.000
        311.0000    -1792.91  0.2432   20.000
        312.0000    -1797.44  0.2431   20.000
        313.0000    -1801.89  0.2431   20.000
        314.0000    -1806.29  0.2430   20.000
        315.0000    -1810.66  0.2429   20.000
        316.0000    -1815.00  0.2429   20.000
        317.0000    -1819.31  0.2428   20.000
        318.0000    -1824.37  0.2428   20.000
        319.0000    -1829.35  0.2427   20.000
        320.0000    -1835.28  0.2426   20.000
        321.0000    -1845.01  0.2425   20.000
        322.0000    -1859.78  0.2423   20.000
        323.0000    -1878.95  0.2420   20.000
        324.0000    -1902.52  0.2417   20.000
        325.0000    -1928.97  0.2413   20.000
        326.0000    -1955.48  0.2409   20.000
        327.0000    -1980.56  0.2406   20.000
        328.0000    -1997.65  0.2403   20.000
        329.0000    -2011.61  0.2401   20.000
        330.0000    -2021.56  0.2400   20.000
        331.0000    -2029.42  0.2399   20.000
        332.0000    -2035.00  0.2398   20.000
        333.0000    -2040.50  0.2397   20.000
        334.0000    -2043.56  0.2397   20.000
        335.0000    -2047.27  0.2396   20.000
        336.0000    -2050.18  0.2396   20.000
        337.0000    -2053.28  0.2395   20.000
        338.0000    -2056.20  0.2395   20.000
        339.0000    -2059.16  0.2394   20.000
        340.0000    -2062.06  0.2394   20.000
        341.0000    -2064.96  0.2394   20.000
        342.0000    -2068.90  0.2393   20.000
        343.0000    -2072.90  0.2393   20.000
        344.0000    -2076.81  0.2392   20.000
        345.0000    -2081.54  0.2391   20.000
        346.0000    -2087.77  0.2390   20.000
        347.0000    -2096.40  0.2389   20.000
        348.0000    -2109.07  0.2388   20.000
        349.0000    -2127.41  0.2385   20.000
        350.0000    -2154.74  0.2381   20.000
        351.0000    -2189.85  0.2378   20.000
        352.0000    -2229.88  0.2374   20.000
        353.0000    -2265.53  0.2370   20.000
        354.0000    -2294.12  0.2367   20.000
        355.0000    -2320.76  0.2365   20.000
        356.0000    -2333.55  0.2364   20.000
        357.0000    -2342.86  0.2363   20.000
        358.0000    -2346.53  0.2362   20.000
        359.0000    -2350.15  0.2362   20.000
        360.0000    -2353.11  0.2362   20.000
        361.0000    -2356.07  0.2362   20.000
        362.0000    -2358.93  0.2361   20.000
        363.0000    -2361.78  0.2361   20.000
        364.0000    -2364.61  0.2361   20.000
        365.0000    -2367.43  0.2360   20.000
