 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4. 7.2023    Time:   9: 6:24
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.185     0.404      -0.0   0.922E+02     1.000     0.080     1.000     1.000     1.000
    2      0.50     0.185     0.404      -0.0   0.922E+02     1.000     0.078     1.000     1.000     1.000
    3      1.00     0.185     0.404      -0.0   0.922E+02     1.000     0.077     1.000     1.000     1.000
    4      1.50     0.185     0.404      -0.0   0.922E+02     1.000     0.075     1.000     1.000     1.000
    5      2.00     0.185     0.404      -0.0   0.922E+02     1.000     0.074     1.000     1.000     1.000
    6      2.50     0.185     0.404      -0.0   0.922E+02     1.000     0.072     1.000     1.000     1.000
    7      3.00     0.185     0.404      -0.0   0.922E+02     1.000     0.070     1.000     1.000     1.000
    8      3.50     0.185     0.404      -0.0   0.922E+02     1.000     0.069     1.000     1.000     1.000
    9      4.00     0.185     0.404      -0.0   0.922E+02     1.000     0.067     1.000     1.000     1.000
   10      4.50     0.185     0.404      -0.0   0.922E+02     1.000     0.066     1.000     1.000     1.000
   11      5.00     0.185     0.404      -0.0   0.922E+02     1.000     0.064     1.000     1.000     1.000
   12      5.50     0.185     0.404      -0.0   0.922E+02     1.000     0.062     1.000     1.000     1.000
   13      6.00     0.185     0.404      -0.0   0.922E+02     1.000     0.061     1.000     1.000     1.000
   14      6.50     0.185     0.404      -0.0   0.922E+02     1.000     0.059     1.000     1.000     1.000
   15      7.00     0.185     0.404      -0.0   0.922E+02     1.000     0.058     1.000     1.000     1.000
   16      7.50     0.185     0.404      -0.0   0.922E+02     1.000     0.056     1.000     1.000     1.000
   17      8.00     0.185     0.404      -0.0   0.922E+02     1.000     0.054     1.000     1.000     1.000
   18      8.50     0.185     0.404      -0.0   0.922E+02     1.000     0.053     1.000     1.000     1.000
   19      9.00     0.185     0.404      -0.0   0.922E+02     1.000     0.051     1.000     1.000     1.000
   20      9.50     0.185     0.404      -0.0   0.922E+02     1.000     0.050     1.000     1.000     1.000
   21     10.00     0.185     0.404      -0.0   0.922E+02     1.000     0.048     1.000     1.000     1.000
   22     10.50     0.185     0.404      -0.0   0.922E+02     1.000     0.046     1.000     1.000     1.000
   23     11.00     0.185     0.404      -0.0   0.922E+02     1.000     0.045     1.000     1.000     1.000
   24     11.50     0.185     0.404      -0.0   0.922E+02     1.000     0.043     1.000     1.000     1.000
   25     12.00     0.185     0.404      -0.0   0.922E+02     1.000     0.042     1.000     1.000     1.000
   26     12.50     0.185     0.404      -0.0   0.922E+02     1.000     0.040     1.000     1.000     1.000
   27     13.00     0.185     0.404      -0.0   0.922E+02     1.000     0.038     1.000     1.000     1.000
   28     13.50     0.185     0.404      -0.0   0.922E+02     1.000     0.037     1.000     1.000     1.000
   29     14.00     0.185     0.404      -0.0   0.922E+02     1.000     0.035     1.000     1.000     1.000
   30     14.50     0.185     0.404      -0.0   0.922E+02     1.000     0.034     1.000     1.000     1.000
   31     15.00     0.185     0.404      -0.0   0.922E+02     1.000     0.032     1.000     1.000     1.000
   32     15.50     0.185     0.404      -0.0   0.922E+02     1.000     0.030     1.000     1.000     1.000
   33     16.00     0.185     0.404      -0.0   0.922E+02     1.000     0.029     1.000     1.000     1.000
   34     16.50     0.185     0.404      -0.0   0.922E+02     1.000     0.027     1.000     1.000     1.000
   35     17.00     0.185     0.404      -0.0   0.922E+02     1.000     0.026     1.000     1.000     1.000
   36     17.50     0.185     0.404      -0.0   0.922E+02     1.000     0.024     1.000     1.000     1.000
   37     18.00     0.185     0.404      -0.0   0.922E+02     1.000     0.022     1.000     1.000     1.000
   38     18.50     0.185     0.404      -0.0   0.922E+02     1.000     0.021     1.000     1.000     1.000
   39     19.00     0.185     0.404      -0.0   0.922E+02     1.000     0.019     1.000     1.000     1.000
   40     19.50     0.185     0.404      -0.0   0.922E+02     1.000     0.018     1.000     1.000     1.000
   41     20.00     0.185     0.404      -0.0   0.922E+02     1.000     0.016     1.000     1.000     1.000
   42     20.50     0.185     0.404      -0.0   0.922E+02     1.000     0.014     1.000     1.000     1.000
   43     21.00     0.185     0.404      -0.0   0.922E+02     1.000     0.013     1.000     1.000     1.000
   44     21.50     0.185     0.404      -0.0   0.922E+02     1.000     0.011     1.000     1.000     1.000
   45     22.00     0.185     0.404      -0.0   0.922E+02     1.000     0.010     1.000     1.000     1.000
   46     22.50     0.185     0.404      -0.0   0.922E+02     1.000     0.008     1.000     1.000     1.000
   47     23.00     0.185     0.404      -0.0   0.922E+02     1.000     0.006     1.000     1.000     1.000
   48     23.50     0.185     0.404      -0.0   0.922E+02     1.000     0.005     1.000     1.000     1.000
   49     24.00     0.185     0.404      -0.0   0.922E+02     1.000     0.003     1.000     1.000     1.000
   50     24.50     0.185     0.404      -0.0   0.922E+02     1.000     0.002     1.000     1.000     1.000
   51     25.00     0.185     0.404      -0.0   0.922E+02     1.000     0.000     1.000     1.000     1.000
end
