 Water and Sugar fluxes in Fruit
     Time           Ux        Up           Tf           Us           Ur
    1.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    2.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    3.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    4.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    5.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    6.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    7.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    8.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    9.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   10.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   11.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   12.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   13.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   14.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   15.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   16.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   17.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   18.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   19.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   20.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   21.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   22.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   23.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   24.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   25.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   26.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   27.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   28.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   29.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   30.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   31.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   32.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   33.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   34.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   35.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   36.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   37.0000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
