

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000  0.000000E+00  0.000000E+00  0.594879E-04  0.000000E+00 -0.257497E+01   -557.777   -549.605   -545.435       1
     2.00000  0.000000E+00  0.000000E+00  0.457711E-04  0.000000E+00 -0.298503E+01   -697.602   -689.409   -685.224       2
     3.00000  0.000000E+00  0.000000E+00  0.421903E-04  0.000000E+00 -0.320437E+01   -784.536   -776.204   -771.904       3
     4.00000  0.000000E+00  0.000000E+00 -0.127203E-04  0.000000E+00 -0.335884E+01   -872.913   -864.699   -860.502       4
     5.00000  0.000000E+00  0.637490E-03 -0.509465E-04  0.637490E-03 -0.347068E+01   -938.587   -930.391   -926.205       5
     6.00000  0.000000E+00  0.968701E-03 -0.761751E-04  0.968701E-03 -0.355681E+01   -988.816   -980.628   -976.442       6
     7.00000  0.000000E+00  0.147597E-02 -0.110056E-03  0.147597E-02 -0.362625E+01  -1037.540  -1029.190  -1024.875       7
     8.00000  0.000000E+00  0.343462E-02 -0.137833E-03  0.343462E-02 -0.368753E+01  -1091.011  -1082.764  -1078.537       8
     9.00000  0.000000E+00  0.714492E-02 -0.165220E-03  0.714492E-02 -0.374127E+01  -1137.787  -1129.491  -1125.213       9
    10.00000  0.000000E+00  0.120117E-01 -0.190345E-03  0.120117E-01 -0.378826E+01  -1181.779  -1173.407  -1169.047      10
    11.00000  0.000000E+00  0.178276E-01 -0.213925E-03  0.178276E-01 -0.382920E+01  -1220.977  -1212.530  -1208.092      11
    12.00000  0.000000E+00  0.245899E-01 -0.236453E-03  0.245899E-01 -0.386464E+01  -1256.641  -1248.111  -1243.585      12
    13.00000  0.000000E+00  0.320108E-01 -0.257303E-03  0.320108E-01 -0.389514E+01  -1288.805  -1280.171  -1275.534      13
    14.00000  0.000000E+00  0.394767E-01 -0.239415E-03  0.394767E-01 -0.392206E+01  -1328.904  -1319.901  -1314.927      14
    15.00000  0.000000E+00  0.467786E-01 -0.218864E-03  0.467786E-01 -0.394695E+01  -1370.960  -1362.100  -1357.247      15
    16.00000  0.000000E+00  0.532589E-01 -0.198457E-03  0.532589E-01 -0.396995E+01  -1410.333  -1401.441  -1396.555      16
    17.00000  0.000000E+00  0.570792E-01 -0.173554E-03  0.570792E-01 -0.399127E+01  -1446.687  -1437.827  -1432.972      17
    18.00000  0.000000E+00  0.596693E-01 -0.183149E-03  0.596693E-01 -0.401114E+01  -1477.236  -1468.590  -1463.955      18
    19.00000  0.000000E+00  0.612842E-01 -0.191101E-03  0.612839E-01 -0.402972E+01  -1505.100  -1496.570  -1492.053      19
    20.00000  0.000000E+00  0.624739E-01 -0.198683E-03  0.624694E-01 -0.404715E+01  -1529.899  -1521.473  -1517.062      20
    21.00000  0.000000E+00  0.631889E-01 -0.205008E-03  0.631792E-01 -0.406350E+01  -1552.956  -1544.578  -1540.215      21
    22.00000  0.000000E+00  0.636004E-01 -0.210730E-03  0.635864E-01 -0.407888E+01  -1573.949  -1565.628  -1561.323      22
    23.00000  0.000000E+00  0.639251E-01 -0.216249E-03  0.639068E-01 -0.409335E+01  -1593.459  -1585.178  -1580.914      23
    24.00000  0.000000E+00  0.641910E-01 -0.221331E-03  0.641683E-01 -0.410698E+01  -1611.738  -1603.474  -1599.225      24
    25.00000  0.000000E+00  0.643904E-01 -0.225957E-03  0.643640E-01 -0.411980E+01  -1628.892  -1620.638  -1616.399      25
    26.00060 -0.241232E+01  0.645167E-01 -0.241251E+01  0.644903E-01 -0.456141E+01   -444.284   -451.632   -455.679      26
    27.00000 -0.241232E+01  0.645167E-01 -0.241258E+01  0.644903E-01 -0.519388E+01   -643.634   -635.315   -631.021      27
