 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 7.2023    Time:  15:59:56
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       22  0.1000000E+01  0.27805E+00    3       50    -4    -5     T
       25  0.2000000E+01  0.37500E+00    2       57    -4    -5     T
       27  0.3000000E+01  0.50000E+00    2       62    -4    -5     T
       29  0.4000000E+01  0.50000E+00    2       66    -4    -5     T
       30  0.5000000E+01  0.10000E+01    3       69    -4    -5     T
       31  0.6000000E+01  0.10000E+01    3       72    -4    -5     T
       32  0.7000000E+01  0.10000E+01    2       74    -4    -5     T
       33  0.8000000E+01  0.10000E+01    2       76    -4    -5     T
       34  0.9000000E+01  0.10000E+01    2       78    -4    -5     T
       35  0.1000000E+02  0.10000E+01    2       80    -4    -5     T
       36  0.1100000E+02  0.10000E+01    2       82    -4    -5     T
       37  0.1200000E+02  0.10000E+01    2       84    -4    -5     T
       38  0.1300000E+02  0.10000E+01    2       86    -4    -5     T
       39  0.1400000E+02  0.10000E+01    2       88    -4    -5     T
       40  0.1500000E+02  0.10000E+01    2       90    -4    -5     T
       41  0.1600000E+02  0.10000E+01    2       92    -4    -5     T
       42  0.1700000E+02  0.10000E+01    2       94    -4    -5     T
       43  0.1800000E+02  0.10000E+01    2       96    -4    -5     T
       44  0.1900000E+02  0.10000E+01    2       98    -4    -5     T
       45  0.2000000E+02  0.10000E+01    2      100    -4    -5     T
       46  0.2100000E+02  0.10000E+01    2      102    -4    -5     T
       47  0.2200000E+02  0.10000E+01    2      104    -4    -5     T
       48  0.2300000E+02  0.10000E+01    2      106    -4    -5     T
       49  0.2400000E+02  0.10000E+01    2      108    -4    -5     T
       50  0.2500000E+02  0.10000E+01    2      110    -4    -5     T
       74  0.2600000E+02  0.11617E+00    3      174    -4    -5     T
       80  0.2700000E+02  0.26770E+00    2      189    -4    -5     T
       83  0.2800000E+02  0.33333E+00    2      195    -4    -5     T
       85  0.2900000E+02  0.50000E+00    2      199    -4    -5     T
       86  0.3000000E+02  0.10000E+01    3      202    -4    -5     T
       87  0.3100000E+02  0.10000E+01    3      205    -4    -5     T
       88  0.3200000E+02  0.10000E+01    2      207    -4    -5     T
       89  0.3300000E+02  0.10000E+01    2      209    -4    -5     T
       90  0.3400000E+02  0.10000E+01    2      211    -4    -5     T
       91  0.3500000E+02  0.10000E+01    2      213    -4    -5     T
       92  0.3600000E+02  0.10000E+01    2      215    -4    -5     T
       93  0.3700000E+02  0.10000E+01    2      217    -4    -5     T
       94  0.3800000E+02  0.10000E+01    2      219    -4    -5     T
       95  0.3900000E+02  0.10000E+01    2      221    -4    -5     T
       96  0.4000000E+02  0.10000E+01    2      223    -4    -5     T
       97  0.4100000E+02  0.10000E+01    2      225    -4    -5     T
       98  0.4200000E+02  0.10000E+01    2      227    -4    -5     T
       99  0.4300000E+02  0.10000E+01    2      229    -4    -5     T
      100  0.4400000E+02  0.10000E+01    2      231    -4    -5     T
